platform,simulator,dataset_variant,component,score,evidence_state
Visium,SRTsim-rb-tissue,Spapros,expression,0.9773048745189775,computed
Visium,SRTsim-rb-tissue,Spapros,spatial_gene,0.9175158071689815,computed
Visium,SRTsim-rb-tissue,Spapros,layout,1.0,computed
Visium,SRTsim-rb-tissue,Spapros,proximity_composition,0.9848451288632454,computed
MERFISH,scCube-rfb,SpatialDE,expression,0.6404040830471451,computed
MERFISH,scCube-rfb,SpatialDE,spatial_gene,0.7566919636964304,computed
MERFISH,scCube-rfb,SpatialDE,layout,0.9992391234535517,computed
MERFISH,scCube-rfb,SpatialDE,proximity_composition,0.9999922535960707,computed
MERFISH,scDesign3-rb,SpatialDE,expression,0.9450651773927099,computed
MERFISH,scDesign3-rb,SpatialDE,spatial_gene,0.8189605702161846,computed
MERFISH,scDesign3-rb,SpatialDE,layout,0.9998304107129053,computed
MERFISH,scDesign3-rb,SpatialDE,proximity_composition,0.9999986210526686,computed
Visium,SRTsim-rb-domain,Spapros,expression,0.9825939862110852,computed
Visium,SRTsim-rb-domain,Spapros,spatial_gene,0.9177973352828575,computed
Visium,SRTsim-rb-domain,Spapros,layout,1.0,computed
Visium,SRTsim-rb-domain,Spapros,proximity_composition,0.9935512786508326,computed
Visium,SRTsim-rb-domain,SpatialDE,expression,0.9878664192949907,computed
Visium,SRTsim-rb-domain,SpatialDE,spatial_gene,0.9858181205703294,computed
Visium,SRTsim-rb-domain,SpatialDE,layout,1.0,computed
Visium,SRTsim-rb-domain,SpatialDE,proximity_composition,0.9927456148278228,computed
Visium,SpatialcoGCN-rb,SpatialDE,expression,0.12874999999999992,computed
Visium,SpatialcoGCN-rb,SpatialDE,spatial_gene,0.6461098473839552,computed
Visium,SpatialcoGCN-rb,SpatialDE,layout,0.5280770652905088,computed
Visium,SpatialcoGCN-rb,SpatialDE,proximity_composition,0.29937332909678993,computed
MERFISH,SRTsim-rb-domain,SpatialDE,expression,0.954202153955842,computed
MERFISH,SRTsim-rb-domain,SpatialDE,spatial_gene,0.9484855382925061,computed
MERFISH,SRTsim-rb-domain,SpatialDE,layout,0.9998328207912047,computed
MERFISH,SRTsim-rb-domain,SpatialDE,proximity_composition,0.9999988631085965,computed
Visium,SRTsim-rf-tissue,SpatialDE,expression,0.9707568924667492,computed
Visium,SRTsim-rf-tissue,SpatialDE,spatial_gene,0.9072413479817438,computed
Visium,SRTsim-rf-tissue,SpatialDE,layout,0.9494872259290089,computed
Visium,SRTsim-rf-tissue,SpatialDE,proximity_composition,0.9719943142431896,computed
Visium,SRTsim-rf-tissue,Spapros,expression,0.9726428812370944,computed
Visium,SRTsim-rf-tissue,Spapros,spatial_gene,0.7981252968052166,computed
Visium,SRTsim-rf-tissue,Spapros,layout,0.9494872259290089,computed
Visium,SRTsim-rf-tissue,Spapros,proximity_composition,0.8903539772034751,computed
MERFISH,SRTsim-rb-tissue,SpatialDE,expression,0.9687653518935896,computed
MERFISH,SRTsim-rb-tissue,SpatialDE,spatial_gene,0.9753447368350364,computed
MERFISH,SRTsim-rb-tissue,SpatialDE,layout,0.9998317500828758,computed
MERFISH,SRTsim-rb-tissue,SpatialDE,proximity_composition,0.9999969118547286,computed
Visium,SRTsim-rf-domain,SpatialDE,expression,0.9652439868367592,computed
Visium,SRTsim-rf-domain,SpatialDE,spatial_gene,0.9140519392986841,computed
Visium,SRTsim-rf-domain,SpatialDE,layout,0.9494872259290089,computed
Visium,SRTsim-rf-domain,SpatialDE,proximity_composition,0.9166580355298948,computed
MERFISH,SRTsim-rf-domain,SpatialDE,expression,0.9503675896771221,computed
MERFISH,SRTsim-rf-domain,SpatialDE,spatial_gene,0.872516050918591,computed
MERFISH,SRTsim-rf-domain,SpatialDE,layout,0.8840286056316756,computed
MERFISH,SRTsim-rf-domain,SpatialDE,proximity_composition,0.941517657768361,computed
MERFISH,SRTsim-rf-tissue,SpatialDE,expression,0.9535056774105465,computed
MERFISH,SRTsim-rf-tissue,SpatialDE,spatial_gene,0.8439272581856616,computed
MERFISH,SRTsim-rf-tissue,SpatialDE,layout,0.8839433958071704,computed
MERFISH,SRTsim-rf-tissue,SpatialDE,proximity_composition,0.9442720410858785,computed
Visium,SpatialcoGCN-rb,Spapros,expression,0.14337270341207353,computed
Visium,SpatialcoGCN-rb,Spapros,spatial_gene,0.534677080406154,computed
Visium,SpatialcoGCN-rb,Spapros,layout,0.5231270625711608,computed
Visium,SpatialcoGCN-rb,Spapros,proximity_composition,0.4268514686533794,computed
Xenium,scCube-rb,Xenium,expression,0.4625480417219372,computed
Xenium,scCube-rb,Xenium,spatial_gene,0.6294044669342342,computed
Xenium,scCube-rb,Xenium,layout,0.9890228751004898,computed
Xenium,scCube-rb,Xenium,proximity_composition,0.9999454196190752,computed
Visium,scCube-rfb,Spapros,expression,0.5463010204081633,computed
Visium,scCube-rfb,Spapros,spatial_gene,0.7006689527842629,computed
Visium,scCube-rfb,Spapros,layout,1.0,computed
Visium,scCube-rfb,Spapros,proximity_composition,0.3939596717322119,computed
Xenium,scDesign3-rb,Xenium,expression,0.9673819293513107,computed
Xenium,scDesign3-rb,Xenium,spatial_gene,0.7938440373083546,computed
Xenium,scDesign3-rb,Xenium,layout,1.0,computed
Xenium,scDesign3-rb,Xenium,proximity_composition,0.9999999900005584,computed
Xenium,SRTsim-rb-tissue,Xenium,expression,0.9852922783038683,computed
Xenium,SRTsim-rb-tissue,Xenium,spatial_gene,0.9897231875598873,computed
Xenium,SRTsim-rb-tissue,Xenium,layout,1.0,computed
Xenium,SRTsim-rb-tissue,Xenium,proximity_composition,0.9999999900005584,computed
Visium,SRTsim-rf-domain,Spapros,expression,0.976045479253159,computed
Visium,SRTsim-rf-domain,Spapros,spatial_gene,0.8216607565752381,computed
Visium,SRTsim-rf-domain,Spapros,layout,0.9494872259290089,computed
Visium,SRTsim-rf-domain,Spapros,proximity_composition,0.7461420310806045,computed
Visium,scCube-rfb,SpatialDE,expression,0.6236346243042672,computed
Visium,scCube-rfb,SpatialDE,spatial_gene,0.7744266320907818,computed
Visium,scCube-rfb,SpatialDE,layout,1.0,computed
Visium,scCube-rfb,SpatialDE,proximity_composition,0.9640064396477159,computed
MERFISH,SRTsim-rf-domain,Spapros,expression,0.9170106847058243,computed
MERFISH,SRTsim-rf-domain,Spapros,spatial_gene,0.8730841888102885,computed
MERFISH,SRTsim-rf-domain,Spapros,layout,0.883995752500008,computed
MERFISH,SRTsim-rf-domain,Spapros,proximity_composition,0.9441111936343707,computed
MERFISH,SRTsim-rb-domain,Spapros,expression,0.9665535376948295,computed
MERFISH,SRTsim-rb-domain,Spapros,spatial_gene,0.9568926559771479,computed
MERFISH,SRTsim-rb-domain,Spapros,layout,0.9996607760556893,computed
MERFISH,SRTsim-rb-domain,Spapros,proximity_composition,0.9999915653074136,computed
MERFISH,scCube-rfb,Spapros,expression,0.6503523868957101,computed
MERFISH,scCube-rfb,Spapros,spatial_gene,0.8303432062547349,computed
MERFISH,scCube-rfb,Spapros,layout,0.9998302380225,computed
MERFISH,scCube-rfb,Spapros,proximity_composition,0.9999986241481859,computed
Visium,SRTsim-rb-tissue,SpatialDE,expression,0.9874565166975882,computed
Visium,SRTsim-rb-tissue,SpatialDE,spatial_gene,0.9864791765200374,computed
Visium,SRTsim-rb-tissue,SpatialDE,layout,1.0,computed
Visium,SRTsim-rb-tissue,SpatialDE,proximity_composition,0.9986575229808141,computed
MERFISH,scDesign3-rb,Spapros,expression,0.9267879783567564,computed
MERFISH,scDesign3-rb,Spapros,spatial_gene,0.8040084804940362,computed
MERFISH,scDesign3-rb,Spapros,layout,0.9989724816514584,computed
MERFISH,scDesign3-rb,Spapros,proximity_composition,0.9999872988883024,computed
MERFISH,SRTsim-rf-tissue,Spapros,expression,0.9421136685013687,computed
MERFISH,SRTsim-rf-tissue,Spapros,spatial_gene,0.7844204156780041,computed
MERFISH,SRTsim-rf-tissue,Spapros,layout,0.8841738262268573,computed
MERFISH,SRTsim-rf-tissue,Spapros,proximity_composition,0.9421124048168248,computed
Visium,scDesign3-rb,Spapros,expression,0.9602753942486085,computed
Visium,scDesign3-rb,Spapros,spatial_gene,0.8514810909577715,computed
Visium,scDesign3-rb,Spapros,layout,1.0,computed
Visium,scDesign3-rb,Spapros,proximity_composition,0.9916046439110707,computed
Xenium,SRTsim-rb-domain,Xenium,expression,0.9870761612203478,computed
Xenium,SRTsim-rb-domain,Xenium,spatial_gene,0.9995341897473187,computed
Xenium,SRTsim-rb-domain,Xenium,layout,0.9999714024775895,computed
Xenium,SRTsim-rb-domain,Xenium,proximity_composition,0.9999999879327457,computed
MERFISH,SRTsim-rb-tissue,Spapros,expression,0.9502222124558111,computed
MERFISH,SRTsim-rb-tissue,Spapros,spatial_gene,0.9247452879932769,computed
MERFISH,SRTsim-rb-tissue,Spapros,layout,0.9995028804585341,computed
MERFISH,SRTsim-rb-tissue,Spapros,proximity_composition,0.9999974642532474,computed
