platform,dataset_variant,simulator,family,metric,value,evidence_state
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,library_size,0.02300556586270872,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,effective_library_size,0.08682745825602968,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,fraction_zero_gene,0.021739130434782608,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,fraction_zero_spot,0.03339517625231911,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,mean_expression,0.011508951406649617,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,variance_expression,0.034526854219948847,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,scaled_variance,0.03324808184143223,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,pearson_cell_correlation,0.1093523297150405,computed
Visium,Spapros,SRTsim-rb-tissue,E1_data_properties,spearman_cell_correlation,0.021325201471558475,computed
Visium,Spapros,SRTsim-rb-tissue,E2_SVG_moran,SVG_precision,0.8376068376068376,computed
Visium,Spapros,SRTsim-rb-tissue,E2_SVG_moran,SVG_recall,0.8376068376068376,computed
Visium,Spapros,SRTsim-rb-tissue,E2_SVG_moran,SVG_jaccard,0.7205882352888192,computed
Visium,Spapros,SRTsim-rb-tissue,E2_SVG_moran,moran_global_real,0.4877354783448132,computed
Visium,Spapros,SRTsim-rb-tissue,E2_SVG_moran,moran_global_sim,0.4735249211641642,computed
Visium,Spapros,SRTsim-rb-tissue,E2_SVG_moran,moran_profile_cosine,0.9974247767311254,computed
Visium,Spapros,SRTsim-rb-tissue,E2_clustering,cluster_ARI_real_vs_label,0.3677868549993091,computed
Visium,Spapros,SRTsim-rb-tissue,E2_clustering,cluster_NMI_real_vs_label,0.4702092230982895,computed
Visium,Spapros,SRTsim-rb-tissue,E2_clustering,cluster_ARI_real_vs_sim,0.9094686026601648,computed
Visium,Spapros,SRTsim-rb-tissue,E2_ct_proportion,ct_proportion_JSD,0.0510123690419871,computed
Visium,Spapros,SRTsim-rb-tissue,E2_ct_proportion,ct_proportion_RMSE,0.02538333550660111,computed
Visium,Spapros,SRTsim-rb-tissue,BEASTsim_similarity_DSC,Shape_mean_dice_score,1.0,computed
Visium,Spapros,SRTsim-rb-tissue,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.9968931914068357,computed
Visium,Spapros,SRTsim-rb-tissue,BEASTsim_similarity_DSC,CT_mean_dice_score,0.9638596330517841,computed
Visium,Spapros,SRTsim-rb-tissue,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.9644844144063355,computed
Visium,Spapros,SRTsim-rb-tissue,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.84,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,Balanced Realism,0.9699164526378011,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,Spatial Tissue Fidelity,0.9674536453440755,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,Novelty-Gated Plausibility,0.0004091122667137736,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,Conservative Minimum Plausibility,0.9175158071689815,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,coverage_Q,1.0,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,novelty_gate,0.0004218015537329478,computed
Visium,Spapros,SRTsim-rb-tissue,biological_plausibility,copy_similarity,0.9999789099223133,computed
Visium,Spapros,SRTsim-rb-tissue,E3_scalability,compute_seconds,10.95,computed
Visium,Spapros,SRTsim-rb-tissue,E3_scalability,peak_memory_gb,1.01,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,library_size,0.3980249234168009,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,effective_library_size,0.5070581604924801,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,fraction_zero_gene,0.34977578475336324,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,fraction_zero_spot,0.05912842625848802,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,mean_expression,0.3452914798206278,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,variance_expression,0.3452914798206278,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,scaled_variance,0.3452914798206278,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,pearson_cell_correlation,0.3293422684536908,computed
MERFISH,SpatialDE,scCube-rfb,E1_data_properties,spearman_cell_correlation,0.06173482696539312,computed
MERFISH,SpatialDE,scCube-rfb,E2_SVG_moran,SVG_precision,0.6363636363636364,computed
MERFISH,SpatialDE,scCube-rfb,E2_SVG_moran,SVG_recall,0.6363636363636364,computed
MERFISH,SpatialDE,scCube-rfb,E2_SVG_moran,SVG_jaccard,0.46666666665629636,computed
MERFISH,SpatialDE,scCube-rfb,E2_SVG_moran,moran_global_real,0.10980514004868674,computed
MERFISH,SpatialDE,scCube-rfb,E2_SVG_moran,moran_global_sim,0.11138233604747282,computed
MERFISH,SpatialDE,scCube-rfb,E2_SVG_moran,moran_profile_cosine,0.8770202910292245,computed
MERFISH,SpatialDE,scCube-rfb,E2_clustering,cluster_ARI_real_vs_label,0.4922239613847944,computed
MERFISH,SpatialDE,scCube-rfb,E2_clustering,cluster_NMI_real_vs_label,0.6459060406850585,computed
MERFISH,SpatialDE,scCube-rfb,E2_clustering,cluster_ARI_real_vs_sim,0.00010802086705578749,computed
MERFISH,SpatialDE,scCube-rfb,E2_ct_proportion,ct_proportion_JSD,0.0008954316796179309,computed
MERFISH,SpatialDE,scCube-rfb,E2_ct_proportion,ct_proportion_RMSE,0.00017990212125181646,computed
MERFISH,SpatialDE,scCube-rfb,BEASTsim_similarity_DSC,Shape_mean_dice_score,0.999994879246593,computed
MERFISH,SpatialDE,scCube-rfb,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.8671166015068583,computed
MERFISH,SpatialDE,scCube-rfb,BEASTsim_similarity_DSC,CT_mean_dice_score,0.9999804000013525,computed
MERFISH,SpatialDE,scCube-rfb,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.7578772750462341,computed
MERFISH,SpatialDE,scCube-rfb,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.6930000000000001,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Balanced Realism,0.8490818559482994,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Spatial Tissue Fidelity,0.9186411135820176,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Novelty-Gated Plausibility,0.8490818559482994,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,Conservative Minimum Plausibility,0.6404040830471451,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,coverage_Q,1.0,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,novelty_gate,1.0,computed
MERFISH,SpatialDE,scCube-rfb,biological_plausibility,copy_similarity,0.7773507141305905,computed
MERFISH,SpatialDE,scCube-rfb,E3_scalability,compute_seconds,18.34,computed
MERFISH,SpatialDE,scCube-rfb,E3_scalability,peak_memory_gb,1.37,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,library_size,0.09866305724530389,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,effective_library_size,0.16645301508583524,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,fraction_zero_gene,0.026905829596412557,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,fraction_zero_spot,0.1126260770287386,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,mean_expression,0.03587443946188341,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,variance_expression,0.05829596412556054,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,scaled_variance,0.07623318385650224,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,pearson_cell_correlation,0.038104580916183295,computed
MERFISH,SpatialDE,scDesign3-rb,E1_data_properties,spearman_cell_correlation,0.05400736147229446,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,SVG_precision,0.7272727272727273,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,SVG_recall,0.7272727272727273,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,SVG_jaccard,0.5714285714149661,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,moran_global_real,0.10980514004868674,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,moran_global_sim,0.048146756573440294,computed
MERFISH,SpatialDE,scDesign3-rb,E2_SVG_moran,moran_profile_cosine,0.9106484131596421,computed
MERFISH,SpatialDE,scDesign3-rb,E2_clustering,cluster_ARI_real_vs_label,0.4922239613847944,computed
MERFISH,SpatialDE,scDesign3-rb,E2_clustering,cluster_NMI_real_vs_label,0.6459060406850585,computed
MERFISH,SpatialDE,scDesign3-rb,E2_clustering,cluster_ARI_real_vs_sim,0.07030648129805475,computed
MERFISH,SpatialDE,scDesign3-rb,E2_ct_proportion,ct_proportion_JSD,0.00017854939618353787,computed
MERFISH,SpatialDE,scDesign3-rb,E2_ct_proportion,ct_proportion_RMSE,3.594320312182946e-05,computed
MERFISH,SpatialDE,scDesign3-rb,BEASTsim_similarity_DSC,Shape_mean_dice_score,0.9999988741564315,computed
MERFISH,SpatialDE,scDesign3-rb,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.7371562053107745,computed
MERFISH,SpatialDE,scDesign3-rb,BEASTsim_similarity_DSC,CT_mean_dice_score,0.9999957866622937,computed
MERFISH,SpatialDE,scDesign3-rb,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.7382854826218427,computed
MERFISH,SpatialDE,scDesign3-rb,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.48600000000000004,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,Balanced Realism,0.9409636948436171,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,Spatial Tissue Fidelity,0.9395965339939195,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,Novelty-Gated Plausibility,0.8102788529620971,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,Conservative Minimum Plausibility,0.8189605702161846,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,coverage_Q,1.0,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,novelty_gate,0.8611159573980811,computed
MERFISH,SpatialDE,scDesign3-rb,biological_plausibility,copy_similarity,0.9569442021300959,computed
MERFISH,SpatialDE,scDesign3-rb,E3_scalability,compute_seconds,17.91,computed
MERFISH,SpatialDE,scDesign3-rb,E3_scalability,peak_memory_gb,1.37,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,library_size,0.013358070500927645,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,effective_library_size,0.05380333951762523,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,fraction_zero_gene,0.02557544757033248,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,fraction_zero_spot,0.03228200371057514,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,mean_expression,0.00639386189258312,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,variance_expression,0.024296675191815855,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,scaled_variance,0.02557544757033248,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,pearson_cell_correlation,0.05902211056522222,computed
Visium,Spapros,SRTsim-rb-domain,E1_data_properties,spearman_cell_correlation,0.024490346857512002,computed
Visium,Spapros,SRTsim-rb-domain,E2_SVG_moran,SVG_precision,0.8376068376068376,computed
Visium,Spapros,SRTsim-rb-domain,E2_SVG_moran,SVG_recall,0.8376068376068376,computed
Visium,Spapros,SRTsim-rb-domain,E2_SVG_moran,SVG_jaccard,0.7205882352888192,computed
Visium,Spapros,SRTsim-rb-domain,E2_SVG_moran,moran_global_real,0.4877354783448132,computed
Visium,Spapros,SRTsim-rb-domain,E2_SVG_moran,moran_global_sim,0.4751128434908961,computed
Visium,Spapros,SRTsim-rb-domain,E2_SVG_moran,moran_profile_cosine,0.9979878329588773,computed
Visium,Spapros,SRTsim-rb-domain,E2_clustering,cluster_ARI_real_vs_label,0.3677868549993091,computed
Visium,Spapros,SRTsim-rb-domain,E2_clustering,cluster_NMI_real_vs_label,0.4702092230982895,computed
Visium,Spapros,SRTsim-rb-domain,E2_clustering,cluster_ARI_real_vs_sim,0.968096061770633,computed
Visium,Spapros,SRTsim-rb-domain,E2_ct_proportion,ct_proportion_JSD,0.03310545254750778,computed
Visium,Spapros,SRTsim-rb-domain,E2_ct_proportion,ct_proportion_RMSE,0.01686169612987274,computed
Visium,Spapros,SRTsim-rb-domain,BEASTsim_similarity_DSC,Shape_mean_dice_score,1.0,computed
Visium,Spapros,SRTsim-rb-domain,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.9976022114520607,computed
Visium,Spapros,SRTsim-rb-domain,BEASTsim_similarity_DSC,CT_mean_dice_score,0.9750962583038391,computed
Visium,Spapros,SRTsim-rb-domain,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.9815417926466988,computed
Visium,Spapros,SRTsim-rb-domain,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.8633333333333333,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,Balanced Realism,0.9734856500361938,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,Spatial Tissue Fidelity,0.9704495379778967,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,Novelty-Gated Plausibility,0.00019872944634162558,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,Conservative Minimum Plausibility,0.9177973352828575,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,coverage_Q,1.0,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,novelty_gate,0.0002041421425515999,computed
Visium,Spapros,SRTsim-rb-domain,biological_plausibility,copy_similarity,0.9999897928928724,computed
Visium,Spapros,SRTsim-rb-domain,E3_scalability,compute_seconds,9.76,computed
Visium,Spapros,SRTsim-rb-domain,E3_scalability,peak_memory_gb,1.0,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,library_size,0.005936920222634508,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,effective_library_size,0.16808905380333952,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,fraction_zero_gene,0.009625,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,fraction_zero_spot,0.02189239332096475,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,mean_expression,0.009,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,variance_expression,0.007875,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,scaled_variance,0.0165,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,pearson_cell_correlation,0.03311474822769764,computed
Visium,SpatialDE,SRTsim-rb-domain,E1_data_properties,spearman_cell_correlation,0.01792122396640372,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,SVG_precision,0.9591666666666666,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,SVG_recall,0.9591666666666666,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,SVG_jaccard,0.9215372297830893,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,moran_global_real,0.21387554388725347,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,moran_global_sim,0.20671328345883574,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,moran_profile_cosine,0.9971653662476287,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_clustering,cluster_ARI_real_vs_label,0.3928152620206252,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_clustering,cluster_NMI_real_vs_label,0.5675020017888964,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_clustering,cluster_ARI_real_vs_sim,0.9178136926181373,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_ct_proportion,ct_proportion_JSD,0.05382528358263026,computed
Visium,SpatialDE,SRTsim-rb-domain,E2_ct_proportion,ct_proportion_RMSE,0.010282154801692207,computed
Visium,SpatialDE,SRTsim-rb-domain,BEASTsim_similarity_DSC,Shape_mean_dice_score,1.0,computed
Visium,SpatialDE,SRTsim-rb-domain,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.9967867050522377,computed
Visium,SpatialDE,SRTsim-rb-domain,BEASTsim_similarity_DSC,CT_mean_dice_score,0.9323376571073952,computed
Visium,SpatialDE,SRTsim-rb-domain,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.9504307213979674,computed
Visium,SpatialDE,SRTsim-rb-domain,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.8306666666666668,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,Balanced Realism,0.9916075386732857,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,Spatial Tissue Fidelity,0.9928545784660506,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,Novelty-Gated Plausibility,0.0006190500140322067,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,Conservative Minimum Plausibility,0.9858181205703294,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,coverage_Q,1.0,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,novelty_gate,0.0006242893381593895,computed
Visium,SpatialDE,SRTsim-rb-domain,biological_plausibility,copy_similarity,0.999968785533092,computed
Visium,SpatialDE,SRTsim-rb-domain,E3_scalability,compute_seconds,29.4,computed
Visium,SpatialDE,SRTsim-rb-domain,E3_scalability,peak_memory_gb,8.29,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,library_size,1.0,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,effective_library_size,1.0,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,fraction_zero_gene,0.6215,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,fraction_zero_spot,0.9804496018217328,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,mean_expression,0.906125,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,variance_expression,0.966625,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,scaled_variance,0.37075,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,pearson_cell_correlation,0.25825034178715806,computed
Visium,SpatialDE,SpatialcoGCN-rb,E1_data_properties,spearman_cell_correlation,0.8994759728111317,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_SVG_moran,SVG_precision,0.39666666666666667,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_SVG_moran,SVG_recall,0.39666666666666667,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_SVG_moran,SVG_jaccard,0.24740124740111882,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_SVG_moran,moran_global_real,0.21993338330577375,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_SVG_moran,moran_global_sim,0.3388881195398344,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_SVG_moran,moran_profile_cosine,0.8564920507639596,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_clustering,cluster_ARI_real_vs_label,0.31708969739232906,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_clustering,cluster_NMI_real_vs_label,0.5440150825679915,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_clustering,cluster_ARI_real_vs_sim,0.0008951831866758034,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_ct_proportion,ct_proportion_JSD,0.4611898314753581,computed
Visium,SpatialDE,SpatialcoGCN-rb,E2_ct_proportion,ct_proportion_RMSE,0.0967169724275695,computed
Visium,SpatialDE,SpatialcoGCN-rb,BEASTsim_similarity_DSC,Shape_mean_dice_score,0.5824373027571268,computed
Visium,SpatialDE,SpatialcoGCN-rb,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.8100699232334705,computed
Visium,SpatialDE,SpatialcoGCN-rb,BEASTsim_similarity_DSC,CT_mean_dice_score,0.2240397438821899,computed
Visium,SpatialDE,SpatialcoGCN-rb,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.3221652865267643,computed
Visium,SpatialDE,SpatialcoGCN-rb,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.13466666666666668,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,Balanced Realism,0.40057756044281345,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,Spatial Tissue Fidelity,0.4911867472570846,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,Novelty-Gated Plausibility,0.40057756044281345,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,Conservative Minimum Plausibility,0.12874999999999992,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,coverage_Q,1.0,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,novelty_gate,1.0,computed
Visium,SpatialDE,SpatialcoGCN-rb,biological_plausibility,copy_similarity,0.7208271496754248,computed
Visium,SpatialDE,SpatialcoGCN-rb,E3_scalability,compute_seconds,18.92,computed
Visium,SpatialDE,SpatialcoGCN-rb,E3_scalability,peak_memory_gb,3.96,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,library_size,0.01652471750996547,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,effective_library_size,0.11291743571779483,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,fraction_zero_gene,0.06756756756756757,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,fraction_zero_spot,0.015487706751547665,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,mean_expression,0.05855855855855856,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,variance_expression,0.04054054054054054,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,scaled_variance,0.06306306306306306,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,pearson_cell_correlation,0.0037434352433602935,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E1_data_properties,spearman_cell_correlation,0.0030772302024093118,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,SVG_precision,0.9090909090909091,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,SVG_recall,0.9090909090909091,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,SVG_jaccard,0.8333333333101852,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,moran_global_real,0.10993121253514467,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,moran_global_sim,0.1079057301247845,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_SVG_moran,moran_profile_cosine,0.9878801674941031,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_clustering,cluster_ARI_real_vs_label,0.4966454141336732,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_clustering,cluster_NMI_real_vs_label,0.6487101243755614,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_clustering,cluster_ARI_real_vs_sim,0.7120543361710676,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_ct_proportion,ct_proportion_JSD,0.00017872783649951996,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E2_ct_proportion,ct_proportion_RMSE,3.595560160514146e-05,computed
MERFISH,SpatialDE,SRTsim-rb-domain,BEASTsim_similarity_DSC,Shape_mean_dice_score,0.9999988890247388,computed
MERFISH,SpatialDE,SRTsim-rb-domain,BEASTsim_similarity_DSC,SVG_mean_dice_score,0.987660771802106,computed
MERFISH,SpatialDE,SRTsim-rb-domain,BEASTsim_similarity_DSC,CT_mean_dice_score,0.9999958332531232,computed
MERFISH,SpatialDE,SRTsim-rb-domain,BEASTsim_biological_signal_DE,DE_lfc_correlation,0.9945479539328046,computed
MERFISH,SpatialDE,SRTsim-rb-domain,BEASTsim_biological_signal_DE,DE_top_marker_overlap,0.852,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,Balanced Realism,0.9756298440370375,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,Spatial Tissue Fidelity,0.9827724073974359,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,Novelty-Gated Plausibility,0.006960815046172439,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,Conservative Minimum Plausibility,0.9484855382925061,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,coverage_Q,1.0,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,novelty_gate,0.007134688518105836,computed
MERFISH,SpatialDE,SRTsim-rb-domain,biological_plausibility,copy_similarity,0.9996432655740947,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E3_scalability,compute_seconds,19.94,computed
MERFISH,SpatialDE,SRTsim-rb-domain,E3_scalability,peak_memory_gb,1.37,computed
Visium,SpatialDE,SRTsim-rf-tissue,E1_data_properties,library_size,0.06828437299602019,computed
Visium,SpatialDE,SRTsim-rf-tissue,E1_data_properties,effective_library_size,0.19449973321062655,computed
Visium,SpatialDE,SRTsim-rf-tissue,E1_data_properties,fraction_zero_gene,0.007625,computed
Visium,SpatialDE,SRTsim-rf-tissue,E1_data_properties,fraction_zero_spot,0.14652757720982373,computed
Visium,SpatialDE,SRTsim-rf-tissue,E1_data_properties,mean_expression,0.008,computed
